0.00000000000000e+00 1.000e+00
-2.56827031208651e+06   inf
-2.52324070701446e+06 1.753e-02
-2.50735895130214e+06 6.294e-03
-2.49898159178743e+06 3.341e-03
-2.49340640363819e+06 2.231e-03
-2.48884430428302e+06 1.830e-03
-2.48540721444676e+06 1.381e-03
-2.48259052728247e+06 1.133e-03
-2.48018374633595e+06 9.695e-04
-2.47791486356514e+06 9.148e-04
-2.47601956436030e+06 7.649e-04
-2.47427983370296e+06 7.026e-04
-2.47251454345762e+06 7.135e-04
-2.47120500503041e+06 5.296e-04
-2.47027272054527e+06 3.773e-04
-2.46914414485658e+06 4.569e-04
-2.46843779040859e+06 2.861e-04
-2.46780209347727e+06 2.575e-04
-2.46703097362109e+06 3.125e-04
-2.46649081033105e+06 2.190e-04
