0.00000000000000e+00 1.000e+00
-1.94780030157091e+06   inf
-1.91677955927484e+06 1.593e-02
-1.90055466849830e+06 8.465e-03
-1.89083114340766e+06 5.116e-03
-1.88416385258799e+06 3.526e-03
-1.87903837217327e+06 2.720e-03
-1.87486941865966e+06 2.219e-03
-1.87170056489645e+06 1.690e-03
-1.86895379276138e+06 1.468e-03
-1.86651831453000e+06 1.303e-03
-1.86452242149297e+06 1.069e-03
-1.86287641096078e+06 8.828e-04
-1.86146580553731e+06 7.572e-04
-1.86011873144627e+06 7.237e-04
-1.85887121897222e+06 6.707e-04
-1.85781185728930e+06 5.699e-04
-1.85687555582481e+06 5.040e-04
-1.85603602836709e+06 4.521e-04
-1.85513435870239e+06 4.858e-04
-1.85443821833851e+06 3.753e-04
